	index	Datum uitspraak:	Datum publicatie:	Rechtsgebieden:	Bijzondere kenmerken:	Vindplaatsen:	Inhoudsindicatie:	Formele relaties:
164	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2022:11001&showbutton=true	21-10-2022	27-10-2022	Civiel recht	Kort geding	Rechtspraak.nl	kort geding merkinbreuk	
165	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9090&showbutton=true	21-10-2022	27-10-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Huurcommissie heeft huurprijs verlaagd in verband met gebreken aan het gehuurde. Verhuurder krijgt de gelegenheid om te bewijzen dat huurder herstel van een van de gebreken (scheefstand van de vloer) heeft geweigerd.	
166	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9046&showbutton=true	21-10-2022	27-10-2022	Arbeidsrecht	Beschikking	Rechtspraak.nl	Ontbindingsverzoek werknemer met een slapend dienstverband. Toekenning vergoeding ter hoogte van de transitievergoeding op grond van artikel 7:611 BW. Xella-uitspraak.	
167	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBMNE:2022:4285&showbutton=true	21-10-2022	28-10-2022	Personen- en familierecht	Beschikking	Rechtspraak.nl	Rechtbank heeft geen nieuwe zitting gepland nadat partijen hebben bericht dat zij toch geen overeenstemming hebben. Eerdere zitting is niet doorgegaan op verzoek van partijen. Partijen mochten zich uitlaten via een akte. Daarna is beslist ogv de stukken.	
168	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9186&showbutton=true	21-10-2022	31-10-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Non-conformiteit, wettelijke garantie	
169	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9187&showbutton=true	21-10-2022	31-10-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	"S&E HW 2022/26, UDH:S&E HW/53075 
            
            Rechtspraak.nl"	Toetsing aanvangshuurprijs, schade na einde huur, mondelinge behandeling	
170	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBLIM:2022:8613&showbutton=true	21-10-2022	04-11-2022	Personen- en familierecht	Kort geding	Rechtspraak.nl	Toevertrouwing kind. Geslaagd beroep op niet-ontvankelijkheid. In plaats van KG had de bijzondere procesgang van artikel 821 tot 826 Rv moeten worden gevolgd.	
171	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBLIM:2022:8617&showbutton=true	21-10-2022	04-11-2022	Personen- en familierecht	Beschikking	Rechtspraak.nl	Verzoek machtiging gesloten accommodatie aangehouden voor een korte periode. Mj meent dat gesloten plaatsing niet zal helpen. Ter zitting zijn in samenspraak met pleegouders en mj afspraken gemaakt. Mj moet zich strikt houden aan de voorwaarden zoals in de beschikking opgenomen.	
172	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9452&showbutton=true	21-10-2022	07-11-2022	Arbeidsrecht	Beschikking	Rechtspraak.nl	Oosv rechtsgeldig; werknemer heeft geen recht op vergoedingen. Echtgenote werknemer heeft zonder toestemming van de werkgever met de zakelijke tankpas van de bedrijfsauto getankt met de privéauto + tankbeurt niet aangewend t.b.v. werkgever.	
173	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9152&showbutton=true	21-10-2022	08-11-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Huurachterstand ingelopen nadat dagvaarding is uitgebracht; gedaagde is terecht gedagvaard.	
174	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBAMS:2022:5997&showbutton=true	20-10-2022	20-10-2022	Civiel recht	Kort geding	Rechtspraak.nl	De voorzieningenrechter heeft besloten dat DNBC BV, een in Amsterdam gevestigd bedrijf dat financiële diensten aanbiedt, niet langer de naam DNBC mag gebruiken.	
175	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBGEL:2022:5906&showbutton=true	20-10-2022	21-10-2022	Civiel recht	Eerste aanleg - enkelvoudig, Kort geding, Op tegenspraak	Rechtspraak.nl	Kort Geding Tarievencode elektriciteit. Deelmarktgrenzen. Gecontracteerd transportvermogen niet beperkt. Liander moet gecontracteerd transportvermogen levering en teruglevering elektriciteit gestand doen.	
176	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBOVE:2022:3068&showbutton=true	20-10-2022	21-10-2022	Civiel recht	Kort geding	Rechtspraak.nl	Kort geding. Verbod om uitlatingen te doen op sociale media. Verstek verleend tegen niet verschenen gedaagde. Vordering toegewezen nu deze de voorzieningenrechter niet ongegrond of onrechtmatig voorkomt.	
177	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBGEL:2022:5930&showbutton=true	20-10-2022	24-10-2022	Personen- en familierecht	Eerste aanleg - enkelvoudig, Beschikking	Rechtspraak.nl	"De rechtbank is van oordeel dat discussie over het naamgebruik van de kinderen aangemerkt kan worden als een geschil omtrent het ouderlijk gezag (1:253a BW). Het naamgebruik valt onder de verantwoordelijkheid tot het bevorderen van de ontwikkeling va...  
                 meer"	
178	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:8834&showbutton=true	20-10-2022	24-10-2022	Civiel recht	Kort geding	Rechtspraak.nl	Kort geding. Opheffen beslag. Gestelde zekerheid moet gerelateerd worden aan de waarde van de auto. Zekerheid komt in plaats van de auto. Verhaalspositie van beslaglegger moet tenminste gelijk blijven.	
179	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBGEL:2022:5934&showbutton=true	20-10-2022	24-10-2022	Personen- en familierecht	Eerste aanleg - enkelvoudig, Beschikking	Rechtspraak.nl	"De voorzieningenrechter stelt eerst vast dat de man geen juridisch ouder is. Hij heeft het kind niet erkend en zijn vaderschap is niet gerechtelijk vastgesteld. 
Biologisch of juridisch vaderschap is echter geen vereiste om tot een omgangsregeling te...  
                 meer"	
180	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBOVE:2022:3080&showbutton=true	20-10-2022	24-10-2022	Civiel recht	Wraking	Rechtspraak.nl	Verzoek tot wraking van gehele rechtbank ongegrond verklaard.	
181	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:8559&showbutton=true	20-10-2022	25-10-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Regelgeleide rechtsvinding: of de bestelknop ondubbelzinnig wijst op een betalingsverplichting, is niet contextueel bepaald, maar grammaticaal, waarbij geen acht mag worden geslagen op de verdere omstandigheden van het bestelproces.	
182	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:8411&showbutton=true	20-10-2022	25-10-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	verstekvonnis; gedaagde heeft gebruik gemaakt van de mogelijkheid om te reageren op de vordering, daarom verstek verleend tegen gedaade	
183	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2022:10987&showbutton=true	20-10-2022	26-10-2022	Civiel recht	Kort geding	Rechtspraak.nl	Vordering inzetten extra keuringspersoneel door NVWA afgewezen. Geen sprake van onvoorwaardelijke toezegging/garantie; op NVWA rust wel inspanningsverplichting; niet aannemelijk dat NVWA zich onvoldoende heeft ingezet.	
