	Instantie	Datum uitspraak	Datum publicatie	Zaaknummer	Rechtsgebieden	Bijzondere kenmerken	Inhoudsindicatie	Vindplaatsen		Wetsverwijzingen	Formele relaties
35	Rechtbank Gelderland	02-11-2022	09-11-2022	396330	Intellectueel-eigendomsrecht	Eerste aanleg - enkelvoudig	Auteursrecht op flessenwarmers. Uit vormgevingserfgoed blijkt de keuzevrijheid van de maker. Ontwerpkeuzes niet technisch bepaald, triviaal of banaal. Verbod voor de gehele Europese Unie.	Rechtspraak.nl	Verrijkte uitspraak		
36	Rechtbank Gelderland	02-11-2022	09-11-2022	C/05/399746 / HZ ZA 22-54	Civiel recht	Eerste aanleg - enkelvoudig	Vervoersrecht. Afzender vordert schadevergoeding van vervoerder wegens ladingdiefstal. Rechter wijst vorderingen toe tot CMR-limiet. Geen opzet. Geen overmacht. Geen schending verzwaarde motiveringsplicht.	Rechtspraak.nl	Verrijkte uitspraak		
37	Rechtbank Gelderland	02-11-2022	09-11-2022	C/05/406325 / HZ ZA 22-216	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Vordering verklaring voor recht dat besluit van VvE nietig is wegens strijd met art.5:127 lid 3 jo 5:129 lid 1 jo 2:14 BW.	Rechtspraak.nl	Verrijkte uitspraak		
38	Rechtbank Gelderland	02-11-2022	09-11-2022	C/05/389893 / HZ ZA 21-234	Civiel recht	Eerste aanleg - enkelvoudig	Vervolg op ECLI:NL:RBGEL:2022:2322. Tussenvonnis na (tegen)bewijsopdracht. Partijen moeten zich nader uitlaten over afrekening over bepaalde zaken in de geërfde woning en de gevolgen daarvan voor de afrekening cfm de meerwaardeclausule uit 1920 en 1961.	Rechtspraak.nl	Verrijkte uitspraak		
39	Rechtbank Zeeland-West-Brabant	02-11-2022	09-11-2022	9815823 CV EXPL 22-1423	Civiel recht	Bodemzaak	Art 15 WAM. Geen schending van art 7:928 BW mededelingsplicht. Ingangsdatum van de verzekeringspolis is de datum van de aanrijding, zodat de verplichte mededelingsplicht is geëindigd voordat de schade werd gereden. Sprake van een verzekering met dekking.	Rechtspraak.nl	Verrijkte uitspraak		
40	Rechtbank Noord-Holland	02-11-2022	09-11-2022	C/15/327948 / FA RK 22-2170	Personen- en familierecht	Eerste aanleg - enkelvoudig	Beëindiging gezamenlijk gezag is in het belang van de minderjarigen noodzakelijk. De vader is geëmigreerd naar Curaçao en heeft daardoor letterlijk en figuurlijk een ouderrol op afstand en is weinig betrokken bij gezagsbeslissingen.De ouders hebben een goede verstandhouding, de moeder informeert de vader over belangrijke zaken en de vader was het eens met het verzoek van de moeder om eenhoofdig gezag.	Rechtspraak.nl	Verrijkte uitspraak		
41	Rechtbank Gelderland	02-11-2022	09-11-2022	C/05/406130 / HA ZA 22-297	Burgerlijk procesrecht	Eerste aanleg - enkelvoudig	Burgerlijk Procesrecht. Bevoegdheidsincident. Verwijzing op grond van het Zaaksverdelingsreglement in combinatie met het Besluit interne relatieve bevoegdheid.	Rechtspraak.nl	Verrijkte uitspraak		
42	Rechtbank Noord-Holland	02-11-2022	09-11-2022	C/15/331624 / FA RK 22-4155	Personen- en familierecht	Eerste aanleg - enkelvoudig	De minderjarigen worden toevertrouwd aan de vrouw en krijgen een zorgregeling met de man in kader van voorlopige voorzieningen. Het verzoek van de man om een birdnestingsregeling te bepalen wordt afgewezen. De communicatie tussen partijen is verstoord en gelet op het werk van partijen heeft de vrouw voorlopig meer mogelijkheden om voor de minderjarigen te zorgen dan de man. Nu de man de woning moet verlaten en voorlopig dubbele woonlasten zal hebben, kan hij geen partnerbijdrage betalen.	Rechtspraak.nl	Verrijkte uitspraak		
43	Rechtbank Rotterdam	02-11-2022	09-11-2022	C/10/637654 / HA ZA 22-373	Burgerlijk procesrecht	Eerste aanleg - enkelvoudig	Tussenvonnis. Vervolg op vonnis in het incident van 17 augustus 2022 (C/10/637654/HA ZA 22-373). Genoegzaam zekerheid gesteld voor proceskosten? Storting op derdengeldrekening eigen advocaat met borgstelling.	Rechtspraak.nl	Verrijkte uitspraak		
44	Rechtbank Rotterdam	01-11-2022	01-11-2022	C/10/635315 / FA RK 22-1904 en C/10/639926 / FA RK 22-4157	Personen- en familierecht	Beschikking	Voogdij opgedragen aan gecertificeerde instelling. Neutraliteit en deskundigheid zijn nodig, mede vanwege de spanningen in de familie. De minderjarigen hebben er belang bij dat de hele familie er in de toekomst voor hen is, ook als er onenigheid is over wie het beste voor hen kan zorgen.	Rechtspraak.nl	Verrijkte uitspraak		
45	Rechtbank Midden-Nederland	01-11-2022	01-11-2022	10096409 / LV EXPL  22-30	Civiel recht	Kort geding	Geen duurzame gemeenschappelijke huishouding in de zin van artikel 7:268 lid 2 BW, zodat de zoon van de overleden huurders de woning dient te ontruimen. De voorts gevorderde huurachterstand wordt op grond van artikel 7:268 lid 5 BW toegewezen.	Rechtspraak.nl	Verrijkte uitspraak		
46	Rechtbank Den Haag	01-11-2022	02-11-2022	C/09/634531 / KG ZA 22-786	Civiel recht	Kort geding	Kort geding. Europese niet-openbare aanbesteding. De voorzieningenrechter gebiedt de aanbestedende dienst om haar oordeel dat de inschrijving van Vermeulen geldig is, alsnog deugdelijk te motiveren.	Rechtspraak.nl	Verrijkte uitspraak		
47	Rechtbank Overijssel	01-11-2022	03-11-2022	C/08/286304 / KG ZA 22-211	Civiel recht	Kort geding	Het gaat in deze zaak om de levering van 77 iPads. Gedaagde stelt dat deze iPads door problemen bij de verzending niet bij eiseres zijn geleverd. In kort geding vordert eiseres levering van deze iPads. De vordering wordt door gedaagde niet betwist en zal worden toegewezen.	Rechtspraak.nl	Verrijkte uitspraak		
48	Rechtbank Gelderland	01-11-2022	08-11-2022	C/05/404505 / HA RK 22-99	Verbintenissenrecht	Beschikking	Art.35 UAVG-verzoek van UBO van twee stichtingen, verzoek om inzage en informatie ex art. 15 en 22 AVG (geautomatiseerde besluitvorming en profilering), verweerder is betaaldienstverlener die de dienstverlening aan twee stichtingen heeft opgezegd.	Rechtspraak.nl	Verrijkte uitspraak		
